network,sales_2025,share,cum_share
H. MARGARIDA,0.0,0.0,0.9999999999999998
MERCADINHO CASA SAO BENTO,0.0,0.0,0.9999999999999998
MERCADO CANOA,0.0,0.0,0.9999999999999998
BAETAO,0.0,0.0,0.9999999999999998
RECANDO DOS FRIOS,0.0,0.0,0.9999999999999998
SMARTSTORE,0.0,0.0,0.9999999999999998
HITOMIX,0.0,0.0,0.9999999999999998
RINANDO CARNES,0.0,0.0,0.9999999999999998
HORTI FRUTI MANA,0.0,0.0,0.9999999999999998
MERCADO IPANEMA,0.0,0.0,0.9999999999999998
HORTIFRUTI PATRIARCA,0.0,0.0,0.9999999999999998
RECANTO BELA FRUTA,0.0,0.0,0.9999999999999998
IKEDA,0.0,0.0,0.9999999999999998
MERQUEO,0.0,0.0,0.9999999999999998
MEU MERCADO,0.0,0.0,0.9999999999999998
ANTONELLI,0.0,0.0,0.9999999999999998
MIALICH,0.0,0.0,0.9999999999999998
BACANA,0.0,0.0,0.9999999999999998
BELOFRUTO,0.0,0.0,0.9999999999999998
BARRACAO,0.0,0.0,0.9999999999999998
SUBWAY,0.0,0.0,0.9999999999999998
VIKINGS,0.0,0.0,0.9999999999999998
PADARIA ROMANA,0.0,0.0,0.9999999999999998
SUPERMERCADO 14,0.0,0.0,0.9999999999999998
ROSSI,0.0,0.0,0.9999999999999998
MUFFATO,0.0,0.0,0.9999999999999998
NUTRICAR,0.0,0.0,0.9999999999999998
VAJ. QUALIDADE,0.0,0.0,0.9999999999999998
SUP BIAZOTO,0.0,0.0,0.9999999999999998
VERDURAO,0.0,0.0,0.9999999999999998
CERCADAO,0.0,0.0,0.9999999999999998
OPCAO MAX,0.0,0.0,0.9999999999999998
XAVIER,0.0,0.0,0.9999999999999998
OUTRAS REGIOES,0.0,0.0,0.9999999999999998
SUPER CITY,0.0,0.0,0.9999999999999998
OXAN,0.0,0.0,0.9999999999999998
AGUA FRIA,0.0,0.0,0.9999999999999998
CLUBE DA PICANHA,0.0,0.0,0.9999999999999998
CABRAL,0.0,0.0,0.9999999999999998
CONVEM,0.0,0.0,0.9999999999999998
MONTE SERRAT,0.0,0.0,0.9999999999999998
CREMA,0.0,0.0,0.9999999999999998
NOSSO,0.0,0.0,0.9999999999999998
PAO DA TERRA,0.0,0.0,0.9999999999999998
TATU,0.0,0.0,0.9999999999999998
DE MARCHI,0.0,0.0,0.9999999999999998
CHIMAR,0.0,0.0,0.9999999999999998
DONA NONECA,0.0,0.0,0.9999999999999998
SANTO ANTONIO,0.0,0.0,0.9999999999999998
EMP VILA BURGHESE,0.0,0.0,0.9999999999999998
SANTO,0.0,0.0,0.9999999999999998
EMP. RECANTO ARVORES,0.0,0.0,0.9999999999999998
SAO VICENTE,0.0,0.0,0.9999999999999998
ALMA JULIA,0.0,0.0,0.9999999999999998
SUP JD PARAISO,0.0,0.0,0.9999999999999998
EMPORIO SAO PEDRO,0.0,0.0,0.9999999999999998
LIMA SUPERMERCADOS,0.0,0.0,0.9999999999999998
ESTRELA AZUL,0.0,0.0,0.9999999999999998
