store,network,sales_2025,share,cum_share
ST MARCHE SP RICARDO JAFET 25,ST MARCHE,91776.37999999999,0.0036694186070103945,0.579661830122741
PA ITU CENTRO 1002,GPA,90829.40000000008,0.003631556293935218,0.5832933864166762
ST MARCHE SP JAUAPERI 12,ST MARCHE,90426.91000000027,0.003615463871297335,0.5869088502879735
ST MARCHE SP GRANJA VIANA 06,ST MARCHE,89676.96999999987,0.0035854796445263203,0.5904943299324997
BIG PACAEMBU SP 3705,BIG,88918.00999999962,0.0035551347786035464,0.5940494647111033
PA AFONSO BOVERO 0006,GPA,88001.01999999913,0.003518471530734713,0.597567936241838
OBA PIRACICABA,OBA,87943.23000000005,0.0035161609612690647,0.6010840972031071
CARREFOUR SP WASHINGTON BIGWMB,CARREFOUR,87940.66999999953,0.003516058606919984,0.604600155810027
PA MARIA ANTONIA 1202,GPA,87335.45999999973,0.0034918609992659446,0.6080920168092929
OBA AMERICANA 1,OBA,86057.37999999998,0.0034407605904979485,0.6115327773997908
BOA JUNDIAI 01,BOA,85729.51000000013,0.0034276516372064815,0.6149604290369973
PA PANAMBY 1722,GPA,85143.06999999985,0.003404204494838301,0.6183646335318356
VITORIA MAX CPS,VITORIA MAX,83082.0999999999,0.003321802446876832,0.6216864359787124
SAVEGNAGO RP 10,SAVEGNAGO,82969.29000000036,0.0033172920585497357,0.6250037280372621
ST MARCHE SP CRESCO SUMARE 24,ST MARCHE,82941.60000000003,0.0033161849523288397,0.628319912989591
PA RICARDO JAFET 1717,GPA,82937.7399999997,0.0033160306211618847,0.6316359436107529
OBA SOROCABA VILA AUGUSTO,OBA,82193.49000000024,0.0032862738929245595,0.6349222175036775
PA JD PAULISTANO 0009,GPA,80390.32999999952,0.0032141796475923783,0.6381363971512699
PA ANA ROSA 1017,GPA,79273.24999999946,0.0031695163678081965,0.6413059135190781
PA PIRACICABA 2329,GPA,79040.9799999997,0.0031602297097394275,0.6444661432288175
OBA SP SANTANA AUGUSTO TOLLE,OBA,78601.84000000021,0.003142671940658966,0.6476088151694764
ST MARCHE SP PAVAO 13,ST MARCHE,78063.43999999986,0.0031211455416223543,0.6507299607110988
ENXUTO PIRACICABA,ENXUTO,77830.51999999954,0.0031118328951446218,0.6538417936062434
OBA CPS GALERIA SHOPPING,OBA,77659.93000000002,0.0031050123371735173,0.6569468059434169
PA VILA CLEMENTINO 2053,GPA,77642.6499999998,0.003104321445317356,0.6600511273887343
PA ALAMEDA SANTOS 2406,GPA,76108.3399999999,0.0030429764057448455,0.6630941037944791
NATURAL DA TERRA BROOKLIM SP,NATURAL DA TERRA,75516.50000000007,0.003019313359671636,0.6661134171541507
PA BROOKLIN 0061,GPA,75039.97999999984,0.0030002610571662042,0.669113678211317
ST MARCHE SP PANAMBY 02,ST MARCHE,74760.92000000003,0.002989103633475363,0.6721027818447923
PA CLODOMIRO 2459 (LOJA II),GPA,74495.51999999957,0.0029784923661939316,0.6750812742109863
OBA CPS PONTE PRETA,OBA,74118.90999999979,0.0029634346820535742,0.6780447088930399
SAVEGNAGO ARARAQUARA 30,SAVEGNAGO,73402.41000000013,0.0029347874589671806,0.680979496352007
SAN MICHEL POCOS DE CALDAS 02,SAN MICHEL,73294.9399999999,0.002930490575415048,0.6839099869274221
PA JOAO DE LUCA 1395,GPA,73175.44999999978,0.002925713106208351,0.6868357000336305
D AOLIO PEDREIRA,DAOLIO,73028.53999999989,0.002919839325966033,0.6897555393595965
BIGLAR,BIGLAR,72838.93000000011,0.002912258307167139,0.6926677976667637
ST MARCHE SP SAO GABRIEL 27,ST MARCHE,72333.5299999999,0.0028920513196613795,0.6955598489864251
ST MARCHE SP SOCRATES 30,ST MARCHE,72179.54999999984,0.0028858948654941125,0.6984457438519192
CARREFOUR CPS D.PEDRO BIG WMB,CARREFOUR,72168.34999999977,0.002885447065216974,0.7013311909171361
HORTIFRUTI PRIMAVERA,H.FARTURA,70565.60999999977,0.002821366045915495,0.7041525569630517
ST MARCHE HIGIENOPOLIS 20,ST MARCHE,68926.95000000001,0.0027558488671537837,0.7069084058302054
COVABRA 19 PEDREIRA,COVABRA,68312.40000000008,0.002731277826054342,0.7096396836562597
PA REBOUCAS 0183,GPA,67769.57999999977,0.002709574705836934,0.7123492583620966
PA GRANJA VIANA 1290,GPA,67395.64999999994,0.0026946241739057466,0.7150438825360024
BOA SOROCABA 12,BOA,67199.01000000013,0.0026867620804686136,0.717730644616471
SAVEGNAGO RP 25,SAVEGNAGO,66800.15000000018,0.0026708147930991186,0.7204014594095701
PA SANTO AMARO 0170,GPA,66684.63999999988,0.002666196452919468,0.7230676558624896
LAVAPES 02 TUCURA,CUBATAO,66414.41000000003,0.002655392071768546,0.7257230479342581
