store,network,state,city,sales_2024,sales_2025,qty_2024,qty_2025,price_2025,sort_2025,growth_abs,growth_pct
BOA JUNDIAI 06,BOA,SP,JUNDIAI,90307.31000000038,104464.25000000003,29056.0,35402.0,2.950800802214565,17,14156.939999999653,0.15676405376264224
SUPERMERCADOS BOMMIX  LIMEIRA,BOMMIX,SP,LIMEIRA,95295.5699999999,103946.1799999994,29291.0,32558.0,3.1926463541986423,25,8650.609999999491,0.09077662266986275
BIG BOM 01,BIG BOM,SP,MOGI GUACU,107872.10999999984,103704.98000000008,30658.0,38123.0,2.720273325813815,18,-4167.129999999757,-0.038630281728982196
HORTIFRUTI IGUATEMI,H.FARTURA,SP,CAMPINAS,96788.81000000036,101816.62999999979,25602.0,29495.0,3.451996270554324,23,5027.819999999425,0.0519462942048714
BIG BOM 02,BIG BOM,SP,MOGI GUACU,85342.69000000012,101272.61000000023,21130.0,35298.0,2.8690750184146476,22,15929.920000000115,0.1866582832109005
COVABRA 07 PIRASSUNUNGA,COVABRA,SP,PIRASSUNUNGA,105825.81999999956,100929.9099999999,35474.0,34862.0,2.895126785611838,23,-4895.909999999654,-0.04626385129829069
EMPORIO SANTA VERENA CPS,EMP. ST VERENA,SP,CAMPINAS,95645.47999999962,98707.19000000006,29199.0,30535.0,3.2325917799246784,28,3061.710000000443,0.0320110265534812
HORTIFRUTI VALINHOS,H.FARTURA,SP,VALINHOS,101101.11000000058,97126.51999999922,29801.0,30730.0,3.160641718190668,26,-3974.5900000013644,-0.039313020401075094
PA CPS ITAPURA 2465,GPA,SP,CAMPINAS,70875.87999999958,97030.72,18120.0,23881.0,4.063092835308404,17,26154.84000000042,0.3690231429930828
PORTUGA,PORTUGA,SP,PEDREIRA,116677.27000000015,96898.8900000002,35407.0,30698.0,3.156521271744094,21,-19778.379999999946,-0.16951356506712856
MAMBO INDIANOPOLIS SP,MAMBO,SP,SAO PAULO,64965.510000000046,96880.3300000001,20995.0,29598.0,3.2732052841408237,21,31914.820000000058,0.4912578997686625
HORTIFRUTI FLAMBOYANT,H.FARTURA,SP,CAMPINAS,115344.29999999993,96141.5999999995,33873.0,29312.0,3.2799399563318605,23,-19202.700000000434,-0.16648156866009367
PA MARANHAO 0185,GPA,SP,SAO PAULO,91183.73999999942,94872.10999999873,23303.0,23105.0,4.106128976411977,17,3688.3699999993114,0.04044986529395844
PA TAMBORE 1020,GPA,SP,SAO PAULO,72599.52999999955,94585.80000000022,18409.0,23142.0,4.087192118226611,17,21986.270000000673,0.3028431451278102
