network,sales_2024,sales_2025,qty_2024,qty_2025,price_2024,price_2025,sort_2024,sort_2025,registered_stores,active_stores_2024,active_stores_2025,ticket_registered_2025,ticket_active_2025,growth_abs,growth_pct,ticket_gap_pct
MUSEU DA GULA,9344.57,9663.979999999996,2269.0,2311.0,4.118364918466285,4.181730852444828,10,5,4,1,1,2415.994999999999,9663.979999999996,319.4099999999962,0.03418134809841389,3.0
STEAK PARK,2116.189999999999,8748.300000000005,549.0,2017.0,3.85462659380692,4.3372830937035225,23,15,1,1,1,8748.300000000005,8748.300000000005,6632.110000000006,3.133986078754747,0.0
EMP. HIGIENOPOLIS,0.0,7441.710000000002,0.0,2094.0,,3.5538252148997143,0,18,2,0,1,3720.855000000001,7441.710000000002,7441.710000000002,,1.0
PAD. PAO CAMBUI,0.0,6649.940000000003,0.0,1634.0,,4.069730722154225,0,26,1,0,1,6649.940000000003,6649.940000000003,6649.940000000003,,0.0
EMP. AUROK,0.0,5408.3300000000045,0.0,1547.0,,3.496011635423403,0,15,6,0,1,901.3883333333341,5408.3300000000045,5408.3300000000045,,5.0
GUARANI,1972.3199999999993,4346.980000000001,557.0,1229.0,3.540969479353679,3.537005695687552,17,21,6,1,1,724.4966666666669,4346.980000000001,2374.660000000002,1.203993266812689,5.0
QUINTAS DO MORUMBI,0.0,3954.0100000000016,0.0,1044.0,,3.7873659003831435,0,17,1,0,1,3954.0100000000016,3954.0100000000016,3954.0100000000016,,0.0
VILA DAS FRUTAS,0.0,2964.5499999999993,0.0,787.0,,3.76689961880559,0,23,12,0,2,247.04583333333326,1482.2749999999996,2964.5499999999993,,5.0
DELTA,0.0,1979.4199999999996,0.0,540.0,,3.665592592592592,0,22,12,0,1,164.95166666666663,1979.4199999999996,1979.4199999999996,,11.0
JAU SERV,0.0,1673.3999999999996,0.0,449.0,,3.7269487750556785,0,20,3,0,1,557.7999999999998,1673.3999999999996,1673.3999999999996,,2.0
WATANABE,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
REMARO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
SOLAR,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
ASSAI,0.0,0.0,0.0,0.0,,,0,0,30,0,0,0.0,,0.0,,
SUPER VILLE,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
ZAITT,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
DOM PETROPOLIS,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
PICARRAO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
DUBAIRRO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
CATO,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
EMP SAO JOSE,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
CAFE MILLENIUM,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
PORECATU,0.0,0.0,0.0,0.0,,,0,0,7,0,0,0.0,,0.0,,
VILA VAREJO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
EMP. LEVE TUDO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
BONETTI,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
LEME,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
MORATO,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
EMP. TORIAMA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
SUP. ESTRELA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
EMPORIO KM,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
DAVITA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
EMPORIO PIRANA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
LIDERANCA,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
EMPORIO VILLAMARIN,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
PRECO E CIA,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
LIV UP,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
PRIMAVERA,0.0,0.0,0.0,0.0,,,0,0,4,0,0,0.0,,0.0,,
ESTRELA AZUL LJ,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
SUPER BODEGA,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
EXAMINE,0.0,0.0,0.0,0.0,,,0,0,6,0,0,0.0,,0.0,,
M. CACIMBA,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
FITIBITE,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
PROENCA,0.0,0.0,0.0,0.0,,,0,0,5,0,0,0.0,,0.0,,
FORT ATACADISTA,0.0,0.0,0.0,0.0,,,0,0,3,0,0,0.0,,0.0,,
M.HORTICENTER,0.0,0.0,0.0,0.0,,,0,0,2,0,0,0.0,,0.0,,
FREGUESIA,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
PAULISTAO,0.0,0.0,0.0,0.0,,,0,0,8,0,0,0.0,,0.0,,
FRUTARIA RP,0.0,0.0,0.0,0.0,,,0,0,1,0,0,0.0,,0.0,,
